Tautulli API Command;Theoretical Endpoint;Method?;Description
delete_cache;/Cache;DELETE;Delete and recreate the cache directory.
backup_config;/Configuration;POST;Create a manual backup of the 'config.ini' file.
download_config;/Configuration;GET;Download the Tautulli configuration file.
get_settings;/Configuration;GET;Gets all settings from the config file.
import_config;/Configuration/Import;POST;Import a Tautulli config file.
backup_db;/Database;POST;Create a manual backup of the 'plexpy.db' file.
download_database;/Database;GET;Download the Tautulli database file.
import_database;/Database/Import;POST;Import a Tautulli, PlexWatch, or Plexivity database into Tautulli.
pms_image_proxy;/Images;GET;Gets an image from the PMS and saves it to the image cache directory.
delete_image_cache;/Images;DELETE;Delete and recreate the image cache directory.
get_servers_info;/Plex/Info;GET;Get info about the PMS.
get_server_friendly_name;/Plex/Info/Friendly Name;GET;Get the name of the PMS.
get_server_id;/Plex/Info/ID;GET;Get the PMS server identifier.
get_server_identity;/Plex/Info/Identity;GET;Get info about the local server.
get_server_list;/Plex/Info/List;GET;Get all your servers that are published to Plex.tv.
get_server_pref;/Plex/Info/Preference Value;GET;Get a specified PMS server preference.
get_server_info;/Plex/Info/Server;GET;Get the PMS server information.
get_pms_update;/Plex/Update;GET;Check for updates to the Plex Media Server.
status;/Tautulli;GET;Get the current status of Tautulli.
delete_lookup_info;/Tautulli/3rd/API;DELETE;Delete the 3rd party API lookup info.
delete_hosted_images;/Tautulli/3rd/Images;DELETE;Delete the images uploaded to image hosting services.
get_activity;/Tautulli/Activity;GET;Get the current activity on the PMS.
get_apikey;/Tautulli/API;GET;Get the apikey. Username and password are required if auth is enabled. Makes and saves the apikey if it does not exist.
get_collections_table;/Tautulli/Collections;GET;Get the data on the Tautulli collections tables.
server_status;/Tautulli/Connection Status;GET;Get the current status of Tautulli's connection to the Plex server.
docs;/Tautulli/Docs_JSON;GET;Return the api docs as a dict where commands are keys, docstring are value.
docs_md;/Tautulli/Docs_Markdown;GET;Return the api docs formatted with markdown.
delete_export;/Tautulli/Exports;DELETE;Delete exports from Tautulli.
download_export;/Tautulli/Exports;GET;Download an exported metadata file
get_export_fields;/Tautulli/Exports/Fields;GET;Get a list of available custom export fields.
get_exports_table;/Tautulli/Exports/Table;GET;Get the data on the Tautulli export tables.
arnold;/Tautulli/Fun;GET;Get to the chopper!
delete_history;/Tautulli/History;DELETE;Delete history rows from Tautulli.
get_history;/Tautulli/History;GET;Get the Tautulli history.
delete_all_library_history;/Tautulli/History/Library;DELETE;Delete all Tautulli history for a specific library.
delete_recently_added;/Tautulli/History/Recently Added;DELETE;Flush out all of the recently added items in the database.
delete_all_user_history;/Tautulli/History/User;DELETE;Delete all Tautulli history for a specific user.
get_tautulli_info;/Tautulli/Info;GET;Get info about the Tautulli server.
delete_library;/Tautulli/Library;DELETE;Delete a library section from Tautulli. Also erases all history for the library.
edit_library;/Tautulli/Library;PUT;Update a library section on Tautulli.
get_library;/Tautulli/Library;GET;Get a library's details.
get_libraries;/Tautulli/Library/List;GET;Get a list of all libraries on your server.
delete_media_info_cache;/Tautulli/Library/MediaInfo;DELETE;Delete the media info table cache for a specific library.
get_library_media_info;/Tautulli/Library/MediaInfo;GET;Get the data on the Tautulli media info tables.
get_library_names;/Tautulli/Library/Names;GET;Get a list of library sections and ids on the PMS.
refresh_libraries_list;/Tautulli/Library/Refresh;GET;Refresh the Tautulli libraries list.
get_libraries_table;/Tautulli/Library/Table;GET;Get the data on the Tautulli libraries table.
get_logs;/Tautulli/Logs;GET;Get the Tautulli logs.
delete_login_log;/Tautulli/Logs/Login;DELETE;Delete the Tautulli login logs.
delete_newsletter_log;/Tautulli/Logs/Newsletter;DELETE;Delete the Tautulli newsletter logs.
get_newsletter_log;/Tautulli/Logs/Newsletter;GET;Get the data on the Tautulli newsletter logs table.
delete_notification_log;/Tautulli/Logs/Notification;DELETE;Delete the Tautulli notification logs.
get_notification_log;/Tautulli/Logs/Notifications;GET;Get the data on the Tautulli notification logs table.
download_plex_log;/Tautulli/Logs/Plex/Download;GET;Download the Plex log file.
get_plex_log;/Tautulli/Logs/Plex/Get;GET;Get the PMS logs.
download_log;/Tautulli/Logs/Tautulli;GET;Download the Tautulli log file.
update_metadata_details;/Tautulli/Metadata;PUT;Update metadata (including parents/children) in Tautulli by matching rating keys.
export_metadata;/Tautulli/Metadata;GET;Export library or media metadata to a file
get_metadata;/Tautulli/Metadata/Media Item;GET;Get the metadata for a media item.
get_children_metadata;/Tautulli/Metadata/Media Item/Children;GET;Get the metadata for the children of a media item.
get_new_rating_keys;/Tautulli/Metadata/Media Item/Children/NewKeys;GET;Get a list of new rating keys for the PMS of all of the item's parent/children.
get_old_rating_keys;/Tautulli/Metadata/Media Item/Children/OldKeys;GET;Get a list of old rating keys from the Tautulli database for all of the item's parent/children.
delete_mobile_device;/Tautulli/Mobile;DELETE;Remove a mobile device from the database.
set_mobile_device_config;/Tautulli/Mobile;PUT;Configure an existing notification agent.
register_device;/Tautulli/Mobile;POST;Registers the Tautulli Remote App.
delete_newsletter;/Tautulli/Notifications/Newsletter;DELETE;Remove a newsletter from the database.
notify_newsletter;/Tautulli/Notifications/Newsletter;POST;Send a newsletter using Tautulli.
set_newsletter_config;/Tautulli/Notifications/Newsletter;PUT;Configure an existing newsletter agent.
get_newsletters;/Tautulli/Notifications/Newsletter;GET;Get a list of configured newsletters.
add_newsletter_config;/Tautulli/Notifications/Newsletter/Config;POST;Add a new notification agent.
